mum,longitude,latitude
3,114.0769954,22.53652948
2,114.0745183,22.5387272
10,114.0665776,22.54806382
2,114.0939538,22.54926436
3,114.0980791,22.55368279
5,114.0359156,22.5501709
9,114.0450735,22.52119645
9,114.0639604,22.55748101
7,114.0953635,22.54173579
82,114.0286395,22.52955552
12,114.033478,22.52062321
1,114.054823,22.52542036
236,114.0637424,22.54017556
2,114.022893,22.55341452
10,114.0410758,22.52381346
37,114.0682955,22.57110655
9,114.0232739,22.5287696
4,114.0358778,22.5677567
12,114.0328745,22.52071571
1,114.0801683,22.54086786
1,114.0420078,22.56930806
10,114.0401289,22.52881376
2,114.0649513,22.53989307
3,114.0739014,22.53459118
5,114.0363296,22.52121483
6,114.0108364,22.54065666
14,114.0451409,22.52385439
8,114.0254966,22.52921547
1,114.0647429,22.54130839
46,114.0360928,22.52241152
1,114.0047837,22.53951158
17,114.0663531,22.5387736
12,114.0726265,22.53662275
1,114.0902082,22.54892553
20,114.0527564,22.51760543
9,114.0376307,22.5223316
9,114.056075,22.52541331
29,114.0364339,22.5191374
80,114.0480512,22.57070674
13,114.0763084,22.5376276
2,114.0241622,22.52812946
1,114.0283532,22.52465961
2,114.0286099,22.54412703
11,114.0930891,22.55788351
5,114.0767697,22.55959002
27,114.0905354,22.54252843
4,114.0539487,22.52548592
25,114.0427011,22.525348
27,113.9923915,22.54201333
5,114.0417215,22.52706558
5,114.0793025,22.53258735
13,114.0821605,22.53987249
5,114.0581371,22.57637705
1,114.0532554,22.52667879
9,114.0571511,22.51825145
4,114.028116,22.52549762
3,114.0359036,22.52111481
7,114.0735427,22.53591501
10,114.0399134,22.55806407
9,114.026527,22.52593805
3,114.019649,22.52945577
4,114.0340889,22.5202126
5,114.0446153,22.52503614
8,114.0266154,22.52458754
1,114.0337083,22.5196876
1,114.0575167,22.52452474
2,114.0897027,22.55072451
18,114.0413773,22.52814179
8,114.0235171,22.52560102
12,114.0812237,22.53409802
47,114.034667,22.52215526
11,114.0473319,22.52845366
27,114.0446081,22.56956852
5,114.0212082,22.52719436
15,114.0388003,22.53141602
36,114.0851357,22.54619997
34,114.0980669,22.56764873
3,114.0349663,22.56722843
6,114.054269,22.53058066
6,114.0424945,22.51811225
1,114.0644071,22.53987479
5,114.0208015,22.53035508
1,114.0418632,22.56912145
10,114.0857272,22.53950126
7,114.0777857,22.53653903
11,114.051703,22.56869699
1,114.0569296,22.52203388
1,114.0663109,22.54836807
14,114.0418003,22.52582915
2,114.0220932,22.52652427
2,114.0400704,22.5259863
5,114.0279939,22.52578662
14,114.026815,22.52402351
9,114.0657402,22.54132683
29,114.0463102,22.56813872
15,114.0470368,22.52162618
668,114.0822377,22.5458401
2,114.0586244,22.52222866
15,114.0473268,22.52877762
4,114.0879953,22.53924495
6,114.025102,22.52474492
11,114.0766239,22.53504082
1,114.0339893,22.51930382
14,114.0368566,22.5248454
19,114.0342394,22.52764393
6,114.0836928,22.53837853
5,114.0196593,22.52743551
13,114.0459369,22.52469905
8,114.0652451,22.53862671
9,114.0200949,22.52737735
1,113.9891998,22.53139222
8,114.0330044,22.52079714
18,114.036359,22.56513355
5,114.0276507,22.5281901
5,114.021582,22.52763218
14,114.0260889,22.52441612
1,114.047044,22.52422617
12,114.0700402,22.54686866
7,114.0240109,22.52767729
12,114.0983369,22.55239649
6,114.0343337,22.56652683
13,114.066274,22.54859339
24,114.0946271,22.54124707
96,114.0649275,22.53732055
3,114.0955778,22.53880885
16,114.0310001,22.52493409
15,114.0369588,22.56463389
1,114.0133775,22.54599371
28,114.0497825,22.5047839
28,114.0306719,22.52186441
76,114.0319032,22.52400718
26,114.0392755,22.55849328
24,114.071278,22.54705834
2,114.0579305,22.52163715
1,114.0292161,22.52498904
118,114.0985384,22.56518771
8,114.047099,22.52171652
2,114.0870673,22.54014651
26,114.0727485,22.53391278
2,114.0415533,22.53061603
3,114.0324954,22.51957752
4,114.0831287,22.53896451
5,114.057565,22.52504641
8,114.0868968,22.53942732
1,114.0439927,22.52237939
14,114.0290528,22.5442941
3,114.0209032,22.5273715
1362,114.0636831,22.53627503
12,114.044216,22.52457945
16,114.0413486,22.52538655
514,114.09621,22.55535564
5,114.0578698,22.52505062
11,114.0454558,22.52317171
2,114.0410836,22.5737341
5,114.0437483,22.51831783
18,114.0375153,22.52226327
4,114.0585908,22.52135331
6,114.0327847,22.51929094
17,114.0291947,22.52670698
2066,114.0069926,22.53849483
37,114.0386587,22.52886318
3,114.0580648,22.52545024
5,114.0878749,22.53876342
1,114.0444041,22.52438538
2,114.0669287,22.53384053
1,114.0059197,22.55133011
18,114.0237978,22.52777385
7,114.0647728,22.55044858
8,114.0739923,22.53470073
1,114.0955193,22.54194964
3,114.0360123,22.55929954
5,114.0215074,22.5274991
7,114.0833969,22.5395612
6,114.0286223,22.52597521
4,114.0079134,22.5497243
29,114.0419323,22.52840322
8,114.0479188,22.53004785
6,114.0344678,22.54489184
6,114.0227004,22.52794869
6,114.0776303,22.53564348
13,114.0876911,22.5390388
9,114.0759846,22.55965273
3,114.0313334,22.5201913
14,114.0653987,22.54168651
84,114.0341598,22.52240318
2,114.0219613,22.52678093
8,114.0735632,22.53722146
12,114.0261325,22.52809123
3,114.0800426,22.53852695
9,114.0662831,22.55413523
18,114.0404794,22.55150311
2,114.0365904,22.52053086
11,114.0363825,22.55971207
90,114.0275589,22.53634626
11,114.0839344,22.53295053
1,114.0319051,22.545322
118,113.9948074,22.54430768
4,114.0745803,22.53903395
19,114.0405835,22.52090692
18,114.0518849,22.56669315
4,114.0383784,22.5225952
10,114.0368392,22.55931803
1,114.0103643,22.54210066
13,114.0279537,22.52517585
11,114.0650382,22.5252756
10,114.0640295,22.55720089
12,114.066094,22.53982115
1,114.0249281,22.54283621
21,114.0491211,22.53046966
2,114.039614,22.52062264
48,114.0563565,22.53074529
24,114.0600238,22.54497869
5,114.0291631,22.52616812
12,114.0581062,22.52664739
8,114.0405323,22.55061105
17,114.0491672,22.56841417
2,114.0252553,22.53011041
1,114.0563617,22.52967174
1,114.0789793,22.53258638
3,114.0327049,22.52171357
34,114.0943807,22.54034306
6,114.0411558,22.52409285
3,114.065303,22.54452284
7,114.0444867,22.56364519
6,114.0190231,22.52816078
7,114.0784818,22.56282009
1,114.0369986,22.52136295
2,114.0963009,22.54209219
11,114.0206935,22.52748645
13,114.0439095,22.52719852
2,114.0076881,22.54246836
5,114.0536568,22.57058904
17,114.0601172,22.52715943
1,114.022835,22.56166153
1,114.038163,22.56405744
4,114.0924654,22.55523298
19,114.0292929,22.52694774
20,114.0643907,22.57239288
12,114.0409657,22.56704925
4,114.040718,22.5242056
21,114.0527255,22.52806409
12,114.0959068,22.54074614
